zip,city,state,type
01546,Shrewsbury,MA,UNIQUE
01550,Southbridge,MA,STANDARD
01560,South Grafton,MA,STANDARD
01561,South Lancaster,MA,PO BOX
01562,Spencer,MA,STANDARD
01564,Sterling,MA,STANDARD
01566,Sturbridge,MA,STANDARD
01568,Upton,MA,STANDARD
01569,Uxbridge,MA,STANDARD
01570,Webster,MA,STANDARD
01571,Dudley,MA,STANDARD
01580,Westborough,MA,UNIQUE
01581,Westborough,MA,STANDARD
01582,Westborough,MA,UNIQUE
01583,West Boylston,MA,STANDARD
01585,West Brookfield,MA,STANDARD
01586,West Millbury,MA,PO BOX
01588,Whitinsville,MA,STANDARD
01590,Sutton,MA,STANDARD
01601,Worcester,MA,PO BOX
01602,Worcester,MA,STANDARD
01603,Worcester,MA,STANDARD
01604,Worcester,MA,STANDARD
01605,Worcester,MA,STANDARD
01606,Worcester,MA,STANDARD
01607,Worcester,MA,STANDARD
01608,Worcester,MA,STANDARD
01609,Worcester,MA,STANDARD
01610,Worcester,MA,STANDARD
01611,Cherry Valley,MA,STANDARD
01612,Paxton,MA,STANDARD
01613,Worcester,MA,PO BOX
01614,Worcester,MA,PO BOX
01615,Worcester,MA,PO BOX
01653,Worcester,MA,UNIQUE
01654,Worcester,MA,UNIQUE
01655,Worcester,MA,STANDARD
01701,Framingham,MA,STANDARD
01702,Framingham,MA,STANDARD
01703,Framingham,MA,PO BOX
01704,Framingham,MA,PO BOX
01705,Framingham,MA,PO BOX
01718,Acton,MA,STANDARD
01719,Boxborough,MA,STANDARD
01720,Acton,MA,STANDARD
01721,Ashland,MA,STANDARD
01730,Bedford,MA,STANDARD
01731,Hanscom AFB,MA,STANDARD
01740,Bolton,MA,STANDARD
01741,Carlisle,MA,STANDARD
01742,Concord,MA,STANDARD
01745,Fayville,MA,STANDARD
01746,Holliston,MA,STANDARD
01747,Hopedale,MA,STANDARD
01748,Hopkinton,MA,STANDARD
01749,Hudson,MA,STANDARD
01752,Marlborough,MA,STANDARD
01754,Maynard,MA,STANDARD
01756,Mendon,MA,STANDARD
01757,Milford,MA,STANDARD
01760,Natick,MA,STANDARD
01770,Sherborn,MA,STANDARD
01772,Southborough,MA,STANDARD
01773,Lincoln,MA,STANDARD
01775,Stow,MA,STANDARD
01776,Sudbury,MA,STANDARD
01778,Wayland,MA,STANDARD
01784,Woodville,MA,PO BOX
01801,Woburn,MA,STANDARD
01803,Burlington,MA,STANDARD
01805,Burlington,MA,UNIQUE
01806,Woburn,MA,UNIQUE
01807,Woburn,MA,UNIQUE
01808,Woburn,MA,UNIQUE
01810,Andover,MA,STANDARD
01812,Andover,MA,UNIQUE
01813,Woburn,MA,UNIQUE
01815,Woburn,MA,UNIQUE
01821,Billerica,MA,STANDARD
01822,Billerica,MA,PO BOX
01824,Chelmsford,MA,STANDARD
01826,Dracut,MA,STANDARD
01827,Dunstable,MA,STANDARD
01830,Haverhill,MA,STANDARD
01831,Haverhill,MA,PO BOX
01832,Haverhill,MA,STANDARD
01833,Georgetown,MA,STANDARD
01834,Groveland,MA,STANDARD
01835,Haverhill,MA,STANDARD
01840,Lawrence,MA,STANDARD
01841,Lawrence,MA,STANDARD
01842,Lawrence,MA,PO BOX
01843,Lawrence,MA,STANDARD
01844,Methuen,MA,STANDARD
01845,North Andover,MA,STANDARD
01850,Lowell,MA,STANDARD
01851,Lowell,MA,STANDARD
01852,Lowell,MA,STANDARD
01853,Lowell,MA,PO BOX
01854,Lowell,MA,STANDARD
01860,Merrimac,MA,STANDARD
01862,North Billerica,MA,STANDARD
01863,North Chelmsford,MA,STANDARD
01864,North Reading,MA,STANDARD
01865,Nutting Lake,MA,PO BOX
01866,Pinehurst,MA,PO BOX
01867,Reading,MA,STANDARD
01876,Tewksbury,MA,STANDARD
01879,Tyngsboro,MA,STANDARD
01880,Wakefield,MA,STANDARD
01885,West Boxford,MA,PO BOX
01886,Westford,MA,STANDARD
01887,Wilmington,MA,STANDARD
01888,Woburn,MA,PO BOX
01889,North Reading,MA,UNIQUE
01890,Winchester,MA,STANDARD
01899,Andover,MA,UNIQUE
01901,Lynn,MA,STANDARD
01902,Lynn,MA,STANDARD
01903,Lynn,MA,PO BOX
01904,Lynn,MA,STANDARD
01905,Lynn,MA,STANDARD
01906,Saugus,MA,STANDARD
01907,Swampscott,MA,STANDARD
01908,Nahant,MA,STANDARD
01910,Lynn,MA,UNIQUE
01913,Amesbury,MA,STANDARD
01915,Beverly,MA,STANDARD
01921,Boxford,MA,STANDARD
01922,Byfield,MA,STANDARD
01923,Danvers,MA,STANDARD
01929,Essex,MA,STANDARD
01930,Gloucester,MA,STANDARD
01931,Gloucester,MA,PO BOX
01936,Hamilton,MA,PO BOX
01937,Hathorne,MA,PO BOX
01938,Ipswich,MA,STANDARD
01940,Lynnfield,MA,STANDARD
01944,Manchester,MA,STANDARD
01945,Marblehead,MA,STANDARD
01949,Middleton,MA,STANDARD
01950,Newburyport,MA,STANDARD
01951,Newbury,MA,STANDARD
01952,Salisbury,MA,STANDARD
01960,Peabody,MA,STANDARD
01961,Peabody,MA,PO BOX
01965,Prides Crossing,MA,PO BOX
01966,Rockport,MA,STANDARD
01969,Rowley,MA,STANDARD
01970,Salem,MA,STANDARD
